,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
129,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,2.3246949,0.03812102421792308,IGHE_secreted,-0.014039529,0.9912279254780149,TLR7,2.5508723,0.02236791350802561,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,0.2022337,0.9963051369118632,KLRC3,-0.21358402,0.982595819591595,TNFRSF4,0.25891006,0.9801047347168171,CD80,-0.037983645,0.9942011695890447,CXCL3,0.17257756,0.9981223867297049,NAMPT,1.4708391,0.29123501586035466,DUSP2,0.7232548,0.7952260729438808,CD1B,-0.15036182,0.9945467979313188,CXCL1,-0.14196597,0.9946061148814781,TGFB3,-0.044836655,0.9967477841110466,LAMP3,-0.023104347,0.9979517131765093
130,ITGAE,2.2488208,0.04568836203388528,SPP1,-0.014039529,0.9912279254780149,PDIA4,2.41367,0.032542651785321675,IL2,0.18813659,0.9963051369118632,BLK,-0.21911956,0.9803349401538413,RPN2,0.25601888,0.9801047347168171,CCR3,-0.037983645,0.9942011695890447,MCM4,0.1613416,0.9981223867297049,ITGA4,1.4648876,0.2930866488583445,CD44,0.7179624,0.7970844501816892,MKI67,-0.15036182,0.9945467979313188,ZBED2,-0.14196597,0.9946061148814781,IL12A,-0.04891271,0.9967477841110466,KIT,-0.023104347,0.9979517131765093
131,CCR7|CCR7|AHS0273|pAbO,2.23982,0.046553931672477594,TPSAB1,-0.014039529,0.9912279254780149,SLC25A37,2.3984206,0.03359052228436331,TMEM97,0.18813659,0.9963051369118632,FAM129C,-0.21911956,0.9803349401538413,CSF2,0.2318925,0.9902743146966596,TSPAN32,-0.03851414,0.9942011695890447,IL1RL1,0.1515101,0.9981223867297049,THBS1,1.3662088,0.3373727322500385,CD72,0.7101242,0.8019418141561508,CXCL3,-0.15171452,0.9945467979313188,PMCH,-0.14196597,0.9946061148814781,CD209,-0.05298877,0.9967477841110466,STAT4,-0.02365445,0.9979517131765093
132,ICAM1,2.2336025,0.04709396730390061,CCL17,-0.014039529,0.9912279254780149,CD40,2.3650732,0.03659111917879313,TNFRSF9,0.18804102,0.9963051369118632,CXCL1,-0.21911956,0.9803349401538413,PDIA6,0.22511318,0.9902743146966596,KIAA0101,-0.040423933,0.9942011695890447,SPP1,0.1396304,0.9981223867297049,TIAF1,1.3482265,0.34667417352942476,BIN2,0.70054424,0.8086217000429389,NRP1,-0.15719645,0.9945467979313188,CD1B,-0.14872625,0.9946061148814781,ADGRG3,-0.05298877,0.9967477841110466,TGFB3,-0.028238647,0.9979517131765093
133,SLC25A37,2.12628,0.06153071075442458,MCM4,-0.018511955,0.9912279254780149,CD16:3G8|FCGR3A|AHS0053|pAbO,2.311868,0.041774687844509384,LAMP3,0.14484176,0.9963051369118632,ZBED2,-0.21911956,0.9803349401538413,TOP2A,0.17656131,0.9942836710468795,EOMES,-0.04344777,0.9942011695890447,FN1,0.13629472,0.9981223867297049,TNFRSF8,1.343235,0.3481520425678743,C1QA,0.69351,0.8126519994954069,AZU1,-0.16403109,0.9945467979313188,MKI67,-0.14872625,0.9946061148814781,CCR4,-0.05298877,0.9967477841110466,CCR10,-0.028238647,0.9979517131765093
134,FLT3,2.110086,0.06319640129749285,B3GAT1,-0.018978642,0.9912279254780149,CD244,2.2383025,0.04991331963246207,CD200,0.13652687,0.9963051369118632,MKI67,-0.22955383,0.9803349401538413,KIAA0101,0.15632306,0.9942836710468795,IL2,-0.047479555,0.9942011695890447,CLEC10A,0.10440094,0.9981223867297049,TNF,1.3070784,0.3689897566038138,ADA,0.6798434,0.8137119101382044,ELANE,-0.17086571,0.9945467979313188,NRP1,-0.15548652,0.9946061148814781,FAS,-0.05543441,0.9967477841110466,EBF1,-0.028238647,0.9979517131765093
135,VEGFA,2.0821075,0.06680578289225031,KIT,-0.027845712,0.9912279254780149,HAVCR2,2.2336943,0.05026717657968042,MZB1,0.11019634,0.9963051369118632,CD1B,-0.22955383,0.9803349401538413,MKI67,0.15552549,0.9942836710468795,TNFRSF9,-0.047479555,0.9942011695890447,CXCL11,0.08871739,0.9981223867297049,SLC25A37,1.2407165,0.40369530851446833,IL15RA,0.6715363,0.8158031851073616,RGS1,-0.17705959,0.9945467979313188,AZU1,-0.16224681,0.9946061148814781,IL21,-0.05706483,0.9967477841110466,IL12A,-0.030805796,0.9979517131765093
136,FYN,1.9575427,0.0895884386151185,CCL19,-0.028079057,0.9912279254780149,ATF6B,2.2048712,0.053869983490438846,IgM|IGHM|AHS0198|pAbO,0.085060485,0.9963051369118632,NRP1,-0.23998809,0.9781612726340976,UBE2C,0.11973469,0.9942836710468795,CCL22,-0.047479555,0.9942011695890447,CCR8,0.07982224,0.9981223867297049,TGFB1,1.191889,0.42877630150103474,CXCL9,0.6419925,0.8399930776722282,FOSL1,-0.17770034,0.9945467979313188,ELANE,-0.1690071,0.9946061148814781,RORC,-0.05706483,0.9967477841110466,CCR4,-0.033372946,0.9979517131765093
137,GITR|TNFRSF18|AHS0104|pAbO,1.8794274,0.1053903467359372,CCL1,-0.028079057,0.9912279254780149,FUT4,2.1929317,0.05500677779602638,CCL20,0.07808362,0.9963051369118632,TNFRSF13C,-0.24077189,0.9781612726340976,IFNA1,0.0956083,0.9942836710468795,CXCL9,-0.047479555,0.9942011695890447,THBD,0.0743213,0.9981223867297049,TSPAN32,1.170835,0.4405038374070655,SLC25A37,0.6352262,0.8437582820644044,THBD,-0.17770034,0.9945467979313188,FOSL1,-0.17576738,0.9946061148814781,C1QB,-0.06114089,0.9967477841110466,IGHG3_secreted,-0.033372946,0.9979517131765093
138,CXCL2,1.8291821,0.117469702382019,CSF2,-0.028079057,0.9912279254780149,NINJ2,2.156442,0.06003819761805363,CD80,0.07798804,0.9963051369118632,AZU1,-0.25042236,0.9741737550887775,KLRC4,0.054832704,0.9942836710468795,HMMR,-0.055277873,0.9942011695890447,TGFB1,0.041959345,0.9981223867297049,EGR1,1.1035132,0.4870803818145975,PRDM1,0.6290629,0.8468926380511441,TNFSF14,-0.1913696,0.9945467979313188,THBD,-0.17576738,0.9946061148814781,CXCL5,-0.06114089,0.9967477841110466,ADGRG3,-0.033372946,0.9979517131765093
139,CLEC10A,1.7060269,0.15278830878906796,CCR9,-0.042118583,0.9912279254780149,STAT1,1.8355774,0.12206954320434302,CCR3,0.07789247,0.9963051369118632,ELANE,-0.26085663,0.9701642354620529,MMP12,0.054334227,0.9942836710468795,ZBTB16,-0.057187665,0.9942011695890447,CD209,0.03710213,0.9981223867297049,CXCR2,1.0969859,0.49004495853384605,IL1RN,0.60655326,0.8657575890912802,CASP5,-0.19151199,0.9945467979313188,MCM2,-0.1862674,0.9946061148814781,CD274,-0.06929301,0.9967477841110466,CD209,-0.033372946,0.9979517131765093
140,CD183|CXCR3|AHS0031|pAbO,1.6454796,0.17192976301373125,IFNA1,-0.042118583,0.9912279254780149,MITF,1.8162224,0.1262910541842259,IL3,0.0777969,0.9963051369118632,CXCR3,-0.2662942,0.9679434144305735,LIF,0.04466373,0.9942836710468795,PMCH,-0.065145135,0.9942011695890447,LTA,0.004740177,0.9986656098076305,CXCL3,1.0868108,0.4958996987049064,SNCA,0.60306966,0.8657575890912802,NCAM1,-0.19820422,0.9945467979313188,TNFSF14,-0.18928795,0.9946061148814781,FN1,-0.07744513,0.9967477841110466,IL21,-0.035940096,0.9979517131765093
141,CD40,1.6400934,0.17311839040022206,CCR10,-0.05600255,0.9912279254780149,CCL2,1.8120749,0.12632586969080767,BTLA,0.07760575,0.9963051369118632,FOSL1,-0.2712909,0.9661333237269504,LAMP3,0.03439506,0.9942836710468795,CXCL11,-0.066471376,0.9942011695890447,FOXP1,-0.00029260354,0.9997665361648225,CLEC10A,0.99664325,0.5552961196753077,VMO1,0.5461257,0.9040592612541586,IL1R2,-0.19820422,0.9945467979313188,IL1R2,-0.19604823,0.9946061148814781,PMCH,-0.08559725,0.9967477841110466,RORC,-0.035940096,0.9979517131765093
142,FUT4,1.6272249,0.1762718734483685,IL3,-0.056158114,0.9912279254780149,TSPAN32,1.7434528,0.14540287074406044,NCAM1,0.050653998,0.9963051369118632,THBD,-0.2712909,0.9661333237269504,TGFB3,0.013658329,0.9942836710468795,MMP12,-0.066471376,0.9942011695890447,CPA3,-0.008485503,0.9981223867297049,ZBTB16,0.97923684,0.5661224178297729,CD1A,0.5273677,0.9119942472198433,AIM2,-0.20503886,0.9945467979313188,NCAM1,-0.19604823,0.9946061148814781,CXCL1,-0.08559725,0.9967477841110466,TNFRSF17,-0.035940096,0.9979517131765093
143,ZBTB16,1.5733649,0.19242286189586433,IL12RB1,-0.06731973,0.9912279254780149,FOSL1,1.6855556,0.16120241308913918,MMP12,0.045779746,0.9963051369118632,TNFRSF4,-0.27320138,0.9661333237269504,IL12A,0.00358905,0.997136358705075,MME,-0.066471376,0.9942011695890447,TPSAB1,-0.008485503,0.9981223867297049,CX3CR1,0.9732214,0.5688643713088278,S100A12,0.48877984,0.94034426791992,FOSB,-0.21507722,0.9945467979313188,KLRC4,-0.21632908,0.9946061148814781,FAM129C,-0.08559725,0.9967477841110466,C1QB,-0.038507245,0.9979517131765093
144,IgM|IGHM|AHS0198|pAbO,1.571702,0.19242286189586433,TNFRSF9,-0.07019764,0.9912279254780149,TGFB1,1.6554759,0.17057192201448634,ZBED2,0.015626281,0.9963051369118632,IL6,-0.28172517,0.9650058962922442,CTSG,-0.010218822,0.9942836710468795,MKI67,-0.0736331,0.9942011695890447,CHI3L1,-0.008485503,0.9981223867297049,IL15,0.95671093,0.5782216520926419,C1QB,0.3972676,0.9966164098819738,KLRC4,-0.21870811,0.9945467979313188,CCL2,-0.22308937,0.9946061148814781,MKI67,-0.08967331,0.9967477841110466,IGHG1_membrane,-0.038507245,0.9979517131765093
145,TSPAN32,1.5204808,0.2103742898227101,CXCL9,-0.07019764,0.9912279254780149,THBD,1.5804859,0.1970771911781296,PMCH,0.015435133,0.9963051369118632,TNFSF14,-0.2921594,0.9598738446410994,CPA3,-0.010218822,0.9942836710468795,CCR8,-0.07596729,0.9942011695890447,CCL17,-0.008485503,0.9981223867297049,CNOT2,0.81182843,0.6902672269986028,PTTG2,0.38266316,0.9966164098819738,CCL2,-0.22554274,0.9945467979313188,JUN,-0.22704485,0.9946061148814781,CD1B,-0.08967331,0.9967477841110466,CD274,-0.043641545,0.9979517131765093
146,TGFB1,1.3887224,0.26283676259964794,TMEM97,-0.07019764,0.9912279254780149,TIAF1,1.4288303,0.2591104886406639,CCR10,0.003153928,0.997483533558716,IL12RB2,-0.29441282,0.9598738446410994,SPP1,-0.010218822,0.9942836710468795,LIF,-0.07596729,0.9942011695890447,IGHE_secreted,-0.008485503,0.9981223867297049,ELANE,0.7802154,0.7075209532918353,IL15,0.38065338,0.9966164098819738,CXCL10,-0.23921199,0.9945467979313188,CXCL10,-0.23660994,0.9946061148814781,NRP1,-0.09374937,0.9967477841110466,FN1,-0.048775844,0.9979517131765093
147,CD1C,1.3532254,0.2772252113300254,FOXP1,-0.083770484,0.9912279254780149,BPI,1.3910002,0.27573641364341356,FAS,-0.0040140906,0.997483533558716,TCF4,-0.29500067,0.9598738446410994,TPSAB1,-0.010218822,0.9942836710468795,LRRC32,-0.07596729,0.9942011695890447,CTSG,-0.008485503,0.9981223867297049,HAVCR2,0.7769517,0.7075282766849951,MITF,0.37455702,0.9966164098819738,CD70,-0.24604662,0.9940814157135447,CBLB,-0.24437708,0.9924811319933214,AZU1,-0.09782542,0.9967477841110466,HMMR,-0.051342994,0.9979517131765093
148,TNFRSF8,1.3232228,0.29038549957066256,CXCL11,-0.0982767,0.9912279254780149,CD134:ACT35|TNFRSF4|AHS0013|pAbO,1.3532538,0.29425250376479894,IGHE_secreted,-0.010752028,0.9963051369118632,IL1R2,-0.30259368,0.9598068124033207,IGHE_secreted,-0.010218822,0.9942836710468795,LAMP3,-0.085463196,0.9942011695890447,CSF2,-0.016971005,0.9981223867297049,IL1B,0.77432793,0.7075282766849951,HMMR,0.365647,0.9966164098819738,SLC25A37,-0.24661617,0.9940814157135447,FOXP1,-0.2542298,0.988247719135044,ELANE,-0.10190149,0.9967477841110466,TNFSF13,-0.053543407,0.9979517131765093
149,IKZF1,1.2012604,0.3528908624839519,IL1R2,-0.111927316,0.9912279254780149,SNCA,1.1480579,0.3999429918762302,CCL17,-0.010752028,0.9963051369118632,NCAM1,-0.30259368,0.9598068124033207,CHI3L1,-0.010218822,0.9942836710468795,UBE2C,-0.09304932,0.9942011695890447,AOC3,-0.016971005,0.9981223867297049,TLR7,0.6839683,0.7663499117269935,CNOT2,0.33302146,0.9966164098819738,CXCR6,-0.25971588,0.9920300920004097,UBE2C,-0.2568908,0.988247719135044,FASLG,-0.10236732,0.9967477841110466,ZBED2,-0.053910144,0.9979517131765093
150,CD16:3G8|FCGR3A|AHS0053|pAbO,1.200176,0.3528908624839519,CXCR1,-0.11231623,0.9912279254780149,CNOT2,1.102687,0.42558513768667533,TPSAB1,-0.010752028,0.9963051369118632,AIM2,-0.31302795,0.9557075973323192,CCL17,-0.010218822,0.9942836710468795,TGFB3,-0.104455024,0.9942011695890447,CCL1,-0.016971005,0.9981223867297049,CMTM2,0.66323423,0.7808666302508364,APOBEC3G,0.32297254,0.9966164098819738,UBE2C,-0.25971588,0.9920300920004097,CXCR6,-0.2568908,0.988247719135044,THBD,-0.10597754,0.9967477841110466,CXCL1,-0.053910144,0.9979517131765093
151,FAS,1.1959106,0.3541065140605967,TGFB3,-0.15443482,0.975272204118197,TNF,1.0403072,0.46436822056638616,SPP1,-0.010752028,0.9963051369118632,ICOS,-0.3135178,0.9557075973323192,IGHG4_secreted,-0.020437645,0.9942836710468795,EBF1,-0.104455024,0.9942011695890447,CLC,-0.016971005,0.9981223867297049,FUT4,0.64723575,0.7909448528102216,MGST1,0.3196229,0.9966164098819738,IL2RA,-0.2665505,0.9915219323137504,PTTG2,-0.25782573,0.988247719135044,FOSL1,-0.10597754,0.9967477841110466,BLK,-0.053910144,0.9979517131765093
152,CMTM2,1.1153735,0.4029615256248887,EBF1,-0.15443482,0.975272204118197,FAM65B,1.032473,0.46827013651598387,CTSG,-0.010752028,0.9963051369118632,CCL2,-0.34433076,0.9315118954166297,IL13,-0.020437645,0.9942836710468795,IGHG3_secreted,-0.123446845,0.9942011695890447,CCL19,-0.016971005,0.9981223867297049,CXCL1,0.64704376,0.7909448528102216,TMEM97,0.3024727,0.9966164098819738,CMTM2,-0.27338514,0.9879608880195486,IL12RB2,-0.27041137,0.9847615688509525,TGFB1,-0.10935485,0.9967477841110466,PMCH,-0.053910144,0.9979517131765093
153,CD1A,0.97750616,0.48710547504521295,IL12A,-0.16847433,0.9709168500787803,CMTM2,0.9754555,0.5089712949133358,CPA3,-0.010752028,0.9963051369118632,CXCL10,-0.36519927,0.9202043059587083,CCL19,-0.020437645,0.9942836710468795,CD209,-0.123446845,0.9942011695890447,IL13,-0.016971005,0.9981223867297049,CCR7|CCR7|AHS0273|pAbO,0.6370607,0.7948951878851929,CCL22,0.30220476,0.9966164098819738,IL12RB2,-0.27338514,0.9879608880195486,CMTM2,-0.27041137,0.9847615688509525,IL6,-0.11005361,0.9967477841110466,CD1B,-0.056477293,0.9979517131765093
154,CD161:HP-3G10|KLRB1|AHS0205|pAbO,0.9271524,0.5156062389075118,FOSL1,-0.16886324,0.9709168500787803,IgM|IGHM|AHS0198|pAbO,0.89468426,0.5668539782276338,CHI3L1,-0.010752028,0.9963051369118632,EOMES,-0.39047664,0.8988706341435049,CLC,-0.020437645,0.9942836710468795,CCR4,-0.123446845,0.9942011695890447,IGHG4_secreted,-0.016971005,0.9981223867297049,FAS,0.56429946,0.843323246748334,AIM2,0.29155287,0.9966164098819738,TLR7,-0.27772796,0.9879608880195486,MITF,-0.27717164,0.9842978754225247,TNFSF14,-0.11412966,0.9967477841110466,MKI67,-0.056477293,0.9979517131765093
155,CNOT2,0.90546376,0.5265358886978928,EOMES,-0.17633025,0.9709168500787803,CX3CR1,0.8866406,0.5693312947765203,CD72,-0.014622758,0.9963051369118632,UBE2C,-0.39650208,0.8988144898667219,CCL1,-0.020437645,0.9942836710468795,CXCR3,-0.13044941,0.9942011695890447,IL4,-0.025456507,0.9981223867297049,CD196|CCR6|AHS0034|pAbO,0.4811072,0.912126392242901,CXCR4,0.2800301,0.9966164098819738,VMO1,-0.28021976,0.9879608880195486,VMO1,-0.27717164,0.9842978754225247,NCAM1,-0.118205726,0.9967477841110466,AZU1,-0.061611593,0.9979517131765093
156,AZU1,0.72244793,0.654497602298569,CD209,-0.18251386,0.9709168500787803,CXCL3,0.87369543,0.5725885219493277,IL13,-0.021504056,0.9963051369118632,CXCR6,-0.39650208,0.8988144898667219,AOC3,-0.020437645,0.9942836710468795,IL21,-0.13294275,0.9942011695890447,CCR9,-0.025456507,0.9981223867297049,PDIA4,0.45269385,0.9251353109283709,CLEC4E,0.27701545,0.9966164098819738,MITF,-0.28021976,0.9879608880195486,LTA,-0.2858737,0.9842978754225247,IL1R2,-0.118205726,0.9967477841110466,ELANE,-0.06417874,0.9979517131765093
157,THBS1,0.6660575,0.6942515924072491,ADGRG3,-0.18251386,0.9709168500787803,CXCR2,0.83108944,0.6022422935878784,AOC3,-0.021504056,0.9963051369118632,VSIG4,-0.40580964,0.8981588331380225,FOXP1,-0.026419394,0.9942836710468795,TNFRSF17,-0.13294275,0.9942011695890447,IFNA1,-0.025456507,0.9981223867297049,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,0.43317568,0.9322053404106829,TSPAN32,0.2634159,0.9966164098819738,CXCR2,-0.2891902,0.9879429900802995,CD1A,-0.2906922,0.9842978754225247,XBP1,-0.12402867,0.9967477841110466,THBD,-0.06674589,0.9979517131765093
158,TIAF1,0.64082646,0.7047260355239864,IGHG3_secreted,-0.18251386,0.9709168500787803,CXCL1,0.79217005,0.6307967461408595,CCL1,-0.021504056,0.9963051369118632,STAT4,-0.4070343,0.8981588331380225,IL4,-0.030656468,0.9942836710468795,IGHG1_membrane,-0.14243867,0.9942011695890447,IL22,-0.025456507,0.9981223867297049,GITR|TNFRSF18|AHS0104|pAbO,0.40879396,0.9378379804123034,ITGAE,0.26006624,0.9966164098819738,LTA,-0.2952417,0.9851137431255668,FOXO1,-0.30363744,0.9768958624922492,HLA-DRA,-0.12857056,0.9967477841110466,FOSL1,-0.06674589,0.9979517131765093
159,FN1,0.61761963,0.7181149224627253,CD4,-0.18422505,0.9709168500787803,FOXO1,0.7830791,0.6340534301423506,CCL19,-0.021504056,0.9963051369118632,CMTM2,-0.4173706,0.8931203919650693,CCR9,-0.030656468,0.9942836710468795,C1QB,-0.14243867,0.9942011695890447,ZBED2,-0.030430768,0.9981223867297049,CD1C,0.3526072,0.9690106435263469,FCER2,0.24599774,0.9966164098819738,TOP2A,-0.30755827,0.9761348126389273,PASK,-0.30608264,0.9768958624922492,KLRC4,-0.1304339,0.9967477841110466,IL6,-0.06931304,0.9979517131765093
160,IL1R2,0.5549034,0.7619870681121923,F5,-0.18659739,0.9709168500787803,AZU1,0.75718874,0.6495255758457323,CSF2,-0.021504056,0.9963051369118632,MITF,-0.42780486,0.8888196200403874,IL22,-0.030656468,0.9942836710468795,IgD|IGHD|AHS0058|pAbO,-0.1573987,0.9942011695890447,PMCH,-0.031250056,0.9981223867297049,MITF,0.3360967,0.9769770514693531,CD209,0.24485888,0.9966164098819738,FCER1A,-0.3143929,0.9756026590028439,FCER1A,-0.31097305,0.9758702811340764,CCL2,-0.13450997,0.9967477841110466,NT5E,-0.06931304,0.9979517131765093
161,VSIG4,0.48184887,0.8158877276342384,FAM129C,-0.19632006,0.9709168500787803,FAS,0.7142057,0.6759973486233513,CLC,-0.021504056,0.9963051369118632,VMO1,-0.42780486,0.8888196200403874,DUSP4,-0.040526353,0.9942836710468795,IL1RL1,-0.1614305,0.9942011695890447,SNCA,-0.03160118,0.9981223867297049,IgM|IGHM|AHS0198|pAbO,0.3351368,0.9769770514693531,FUT4,0.19923674,0.9966164098819738,KIAA0101,-0.32122755,0.9719728974728177,KIAA0101,-0.31773335,0.972318677426126,CXCL10,-0.14266208,0.9967477841110466,TNFSF14,-0.07188019,0.9979517131765093
162,AIM2,0.45011118,0.839978403197109,TNFRSF17,-0.1965534,0.9709168500787803,ELANE,0.6410591,0.7227081519421135,IGHG4_secreted,-0.021504056,0.9963051369118632,CD1A,-0.4486734,0.8744139344459653,CD80,-0.04087529,0.9942836710468795,FN1,-0.1804223,0.9942011695890447,MMP9,-0.03394201,0.9981223867297049,CD40,0.32419384,0.9820899081510834,TOP2A,0.18168461,0.9966164098819738,TYMS,-0.3348968,0.9616063887117715,CXCL3,-0.33125392,0.9621168827648372,DUSP4,-0.14347729,0.9967477841110466,NCAM1,-0.07444734,0.9979517131765093
163,ELANE,0.4301215,0.8559112058478943,RORC,-0.1965534,0.9709168500787803,VSIG4,0.6322195,0.7267409794231385,IFNA1,-0.032256085,0.9963051369118632,IL12RB1,-0.46327156,0.8632014692648776,MMP9,-0.04087529,0.9942836710468795,TYMS,-0.19410916,0.9942011695890447,CCL20,-0.03394201,0.9981223867297049,CD1A,0.32073814,0.9820899081510834,NRP1,0.17156869,0.9966164098819738,MCM4,-0.34173143,0.9579539521603759,TYMS,-0.33125392,0.9621168827648372,PASK,-0.1448748,0.9967477841110466,IL1R2,-0.07444734,0.9979517131765093
164,CXCR2,0.40225163,0.8738303223173132,C1QB,-0.21059293,0.9709168500787803,CXCL10,0.6198189,0.7305478820015273,IL22,-0.032256085,0.9963051369118632,TOP2A,-0.46954194,0.8600078825968862,CCR3,-0.04087529,0.9942836710468795,FAM129C,-0.19941413,0.9942011695890447,CCR3,-0.03394201,0.9981223867297049,PCNA,0.2975083,0.9915941011923105,BLNK,0.16895597,0.9966164098819738,VSIG4,-0.34856606,0.954293788539358,MCM4,-0.3380142,0.9621168827648372,IL15,-0.15465733,0.9967477841110466,AIM2,-0.07701449,0.9979517131765093
165,CXCL10,0.37058625,0.8980367211769773,IGHG1_membrane,-0.21059293,0.9709168500787803,CD1C,0.5618798,0.7681073841138524,CCR9,-0.032256085,0.9963051369118632,DUSP4,-0.47929037,0.8563012803266237,CCL20,-0.04087529,0.9942836710468795,BLK,-0.19941413,0.9942011695890447,CD80,-0.03394201,0.9981223867297049,IL1R2,0.26243958,0.9964171929169844,TPSAB1,0.16225669,0.9966164098819738,PDCD1,-0.35540068,0.9506261013117873,VSIG4,-0.34477448,0.9611215441450063,IL2RA,-0.15896632,0.9967477841110466,KLRC4,-0.08214879,0.9979517131765093
166,CD1B,0.29778478,0.9383601126487342,FN1,-0.26675102,0.942051549409608,CCR7|CCR7|AHS0273|pAbO,0.5258092,0.7986943552701669,IL4,-0.032256085,0.9963051369118632,FCER1A,-0.47997618,0.8563012803266237,CD274,-0.04685704,0.9942836710468795,ZBED2,-0.19941413,0.9942011695890447,IL3,-0.03394201,0.9981223867297049,CHI3L1,0.15428963,0.9964171929169844,CPA3,0.16225669,0.9966164098819738,CD160,-0.36906993,0.9402163217845069,PDCD1,-0.35153475,0.95752872345488,CMTM2,-0.16304238,0.9967477841110466,CCL2,-0.08471594,0.9979517131765093
167,CXCL11,0.25679326,0.970259620036042,NT5E,-0.2797794,0.9329752905386982,TNFRSF8,0.42614385,0.867813451934178,MMP9,-0.04300811,0.9963051369118632,KIAA0101,-0.49041045,0.8512646813801664,TMEM97,-0.05109411,0.9942836710468795,CXCL1,-0.19941413,0.9942011695890447,CD1C,-0.03405905,0.9981223867297049,AZU1,0.1384831,0.9964171929169844,CD38,0.15944299,0.9966164098819738,PTGDR2,-0.3827392,0.9298070311277643,DUSP4,-0.35282928,0.95752872345488,IL12RB2,-0.16304238,0.9967477841110466,CXCL10,-0.08985024,0.9979517131765093
168,CD209,0.25523892,0.970259620036042,BLK,-0.29483008,0.9244674365157041,CD1A,0.41307297,0.8746299187723225,NT5E,-0.046400975,0.9963051369118632,IGHA1_secreted,-0.50878066,0.8392243916284552,IL2,-0.05109411,0.9942836710468795,MCM4,-0.20243797,0.9942011695890447,CD1B,-0.037687335,0.9981223867297049,CD134:ACT35|TNFRSF4|AHS0013|pAbO,0.13368356,0.9964171929169844,TYMS,0.15515544,0.9966164098819738,IKZF2,-0.3827392,0.9298070311277643,CD160,-0.36505532,0.9503211772738674,MITF,-0.16711843,0.9967477841110466,CD70,-0.09241739,0.9979517131765093
169,CXCL3,0.23817721,0.9720431925029561,CXCL1,-0.29483008,0.9244674365157041,IL6,0.40058863,0.8808745897944031,CXCL9,-0.05376014,0.9963051369118632,CXCL3,-0.511279,0.8392243916284552,CXCL9,-0.05109411,0.9942836710468795,CD70,-0.20742464,0.9942011695890447,TNFRSF9,-0.04242751,0.9981223867297049,FCER1A,0.13144377,0.9964171929169844,IL13,0.15488747,0.9966164098819738,AURKB,-0.3827392,0.9298070311277643,CASP5,-0.36505532,0.9503211772738674,VMO1,-0.16711843,0.9967477841110466,CR2,-0.09755169,0.9979517131765093
